"i","n1","n2","nodes","edges","paths","density","generation","time","bytes","adds","prods","created","equals","leq"
0,4,0,5,4,1,0.743656365691809,4,5.1337000000000005e-6,2464.0,1,0,7,0,0
1,4,1,10,13,5,0.3718281828459045,5,9.15386e-5,25936.0,9,0,13,0,0
2,4,2,15,22,15,0.247885455230603,6,0.0001630181,51248.0,14,0,19,0,0
3,4,3,20,31,35,0.18591409142295226,7,0.0008451966000000002,78448.0,19,0,25,0,0
4,4,4,25,40,70,0.1487312731383618,8,0.0003191665,105648.0,24,0,31,0,0
5,4,5,30,49,126,0.1239427276153015,9,0.00040639159999999997,132848.0,29,0,37,0,0
6,1,1,4,4,2,0.9295704571147613,2,3.4021999999999994e-5,9568.0,3,0,7,0,0
7,2,2,9,12,6,0.4131424253843383,4,9.26946e-5,27440.0,8,0,13,0,0
8,3,3,16,24,20,0.23239261427869032,6,0.00018880889999999998,60096.0,15,0,21,0,0
